kde_batch-5810,1.33,2857,2144
kde_batch-5810,3.04,753,247
kde_batch-5810,3.64,50,13
kde_batch-5810,1.05,132754,126714
kde_batch-5810,1.06,40758,43049
kde_batch-5810,1.10,2276,2503
kde_batch-5810,1.04,3077,3213
kde_batch-5810,1.11,89116,80479
kde_batch-5810,1.02,11787,12017
kde_batch-5810,1.15,409,357
kde_batch-5810,1.07,55533,59240
kde_batch-5810,1.50,1,2
kde_batch-5810,1.34,2650,1979
kde_batch-5810,1.17,145,124
kde_batch-5810,6.50,1,12
kde_batch-5810,2.17,2197,1011
kde_batch-5810,10.50,20,1
kde_batch-5810,1.09,9238,8458
kde_batch-5810,1.60,84,135
kde_batch-5810,1.00,1,1
kde_batch-5810,1.03,289443,281833
kde_batch-5810,1.64,1240,758
kde_batch-5810,1.03,28051,27163
kde_batch-5810,1.24,8185,10131
kde_batch-5810,1.02,59301,60422
kde_batch-5810,1.01,119238,118215
kde_batch-5810,1.00,430614,431831
kde_batch-5810,1.06,5826,6171
kde_batch-5810,1.19,35260,29516
kde_batch-5810,1.08,71357,65954
kde_batch-5810,3.95,232,58
kde_batch-5810,1.01,210700,209425
kde_batch-5810,1.74,67,117
kde_batch-5810,1.01,223367,225970
kde_batch-5810,1.67,19,11
kde_batch-5810,2.15,124,268
kde_batch-5810,1.17,932,795
kde_batch-5810,1.06,31008,32722
kde_batch-5810,1.02,706,717
kde_batch-5810,1.07,142716,152668
kde_batch-5810,18.00,1,35
kde_batch-5810,1.13,469,414
kde_batch-5810,67.50,1,134
kde_batch-5810,1.01,167539,165997
kde_batch-5810,2.07,243,503
kde_batch-5810,3.59,96,26
kde_batch-5810,1.02,155938,152176
kde_batch-5810,1.21,34909,42135
kde_batch-5810,1.26,709,563
kde_batch-5810,1.09,1460,1338
kde_batch-5810,5.50,10,1
kde_batch-5810,38.50,1,76
kde_batch-5810,5.50,1,10
kde_batch-5810,1.06,90852,96438
kde_batch-5810,1.26,8300,10475
kde_batch-5810,1.04,204450,212082
kde_batch-5810,1.00,567512,568367
kde_batch-5810,1.18,807,949
kde_batch-5810,1.09,750,815
kde_batch-5810,1.14,674,766
kde_batch-5810,1.05,5100,4835
kde_batch-5810,2.30,1091,474
kde_batch-5810,1.08,16850,18250
kde_batch-5810,1.02,136003,133252
kde_batch-5810,8.00,1,15
kde_batch-5810,2.00,1,3
kde_batch-5810,9.50,1,18
kde_batch-5810,1.55,676,436
kde_batch-5810,1.01,226694,225088
kde_batch-5810,1.37,3405,2483
kde_batch-5810,1.24,20,16
kde_batch-5810,1.63,1950,3173
kde_batch-5810,1.84,91,49
kde_batch-5810,1.24,2729,2194
kde_batch-5810,1.08,4750,4379
kde_batch-5810,1.00,415835,416416
kde_batch-5810,1.14,1167,1335
kde_batch-5810,1.02,792,808
kde_batch-5810,6.50,1,12
kde_batch-5810,1.00,17334,17297
kde_batch-5810,1.12,10353,9239
kde_batch-5810,1.04,101549,97593
kde_batch-5810,22.50,1,44
kde_batch-5810,1.04,363400,376253
kde_batch-5810,31.00,1,61
kde_batch-5810,1.19,493,413
kde_batch-5810,3.00,2,8
kde_batch-5810,2.35,135,319
kde_batch-5810,1.63,1023,1670
kde_batch-5810,1.47,37,55
kde_batch-5810,1.33,35,26
kde_batch-5810,1.46,2470,3606
kde_batch-5810,1.21,8350,6915
kde_batch-5810,1.17,2282,1944
kde_batch-5810,1.18,71201,83702
kde_batch-5810,1.28,643,826
kde_batch-5810,1.16,2373,2760
kde_batch-5810,1.02,78652,80101
kde_batch-5810,1.37,244,178
kde_batch-5810,1.71,400,234
kde_batch-5810,1.00,530211,532239
kde_batch-5810,1.00,426709,426822
kde_batch-5810,1.02,409008,415821
kde_batch-5810,2.27,24,10
kde_batch-5810,1.13,59856,52944
kde_batch-5810,15.00,1,29
kde_batch-5810,1.48,1534,1033
kde_batch-5810,1.00,355607,355657
kde_batch-5810,2.27,84,192
kde_batch-5810,1.16,39301,45509
kde_batch-5810,6.50,1,12
kde_batch-5810,1.00,418359,418834
kde_batch-5810,1.04,62897,65330
