stholes-5810,2.33,4987,2144
stholes-5810,2.41,596,247
stholes-5810,1.50,20,13
stholes-5810,1.02,124530,126714
stholes-5810,1.02,43813,43049
stholes-5810,1.57,1591,2503
stholes-5810,1.50,2148,3213
stholes-5810,1.01,79487,80479
stholes-5810,2.66,4522,12017
stholes-5810,1.31,469,357
stholes-5810,1.07,55482,59240
stholes-5810,1.50,1,2
stholes-5810,1.82,3593,1979
stholes-5810,2.18,271,124
stholes-5810,3.25,3,12
stholes-5810,1.25,1269,1011
stholes-5810,1161.00,2321,1
stholes-5810,1.31,11053,8458
stholes-5810,3.08,418,135
stholes-5810,3.50,6,1
stholes-5810,1.00,281758,281833
stholes-5810,6.02,125,758
stholes-5810,1.81,15019,27163
stholes-5810,1.01,10255,10131
stholes-5810,1.01,60026,60422
stholes-5810,1.01,117074,118215
stholes-5810,1.02,425310,431831
stholes-5810,1.01,6206,6171
stholes-5810,1.09,27194,29516
stholes-5810,1.03,67661,65954
stholes-5810,2.57,22,58
stholes-5810,1.01,210745,209425
stholes-5810,4.53,533,117
stholes-5810,1.01,227282,225970
stholes-5810,2.92,34,11
stholes-5810,1.55,173,268
stholes-5810,5.07,156,795
stholes-5810,1.21,26969,32722
stholes-5810,1.05,755,717
stholes-5810,1.01,151332,152668
stholes-5810,1.64,21,35
stholes-5810,1.18,352,414
stholes-5810,1.53,87,134
stholes-5810,1.09,152954,165997
stholes-5810,1.23,408,503
stholes-5810,3.74,100,26
stholes-5810,1.01,153985,152176
stholes-5810,1.20,35074,42135
stholes-5810,1.03,548,563
stholes-5810,3.91,5240,1338
stholes-5810,17.50,34,1
stholes-5810,5.92,12,76
stholes-5810,5.64,61,10
stholes-5810,1.02,94622,96438
stholes-5810,1.00,10523,10475
stholes-5810,1.22,258624,212082
stholes-5810,1.00,567558,568367
stholes-5810,1.47,646,949
stholes-5810,15.11,53,815
stholes-5810,1.99,385,766
stholes-5810,1.03,4984,4835
stholes-5810,52.78,8,474
stholes-5810,2.17,8428,18250
stholes-5810,1.00,132994,133252
stholes-5810,5.06,80,15
stholes-5810,2.00,1,3
stholes-5810,5.47,103,18
stholes-5810,10.93,39,436
stholes-5810,1.00,225593,225088
stholes-5810,3.43,724,2483
stholes-5810,1.89,8,16
stholes-5810,1.15,2755,3173
stholes-5810,1.14,43,49
stholes-5810,1.18,1863,2194
stholes-5810,1.08,4042,4379
stholes-5810,1.00,415064,416416
stholes-5810,2.56,520,1335
stholes-5810,9.52,84,808
stholes-5810,10.62,137,12
stholes-5810,1.07,18439,17297
stholes-5810,1.10,8423,9239
stholes-5810,1.02,95251,97593
stholes-5810,23.78,1069,44
stholes-5810,1.00,377757,376253
stholes-5810,2.58,23,61
stholes-5810,1.50,621,413
stholes-5810,1.11,9,8
stholes-5810,1.79,178,319
stholes-5810,1.25,2086,1670
stholes-5810,1.27,43,55
stholes-5810,1.93,13,26
stholes-5810,1.35,4886,3606
stholes-5810,1.45,4775,6915
stholes-5810,3.02,5866,1944
stholes-5810,1.26,105812,83702
stholes-5810,1.65,501,826
stholes-5810,1.17,2357,2760
stholes-5810,1.02,81411,80101
stholes-5810,3.81,681,178
stholes-5810,3.74,879,234
stholes-5810,1.00,531703,532239
stholes-5810,1.00,428381,426822
stholes-5810,1.00,417461,415821
stholes-5810,8.91,97,10
stholes-5810,1.00,52720,52944
stholes-5810,7.50,3,29
stholes-5810,1.61,1659,1033
stholes-5810,1.00,356779,355657
stholes-5810,24.12,7,192
stholes-5810,1.03,44363,45509
stholes-5810,6.50,1,12
stholes-5810,1.00,419858,418834
stholes-5810,1.05,68586,65330
stholes-5810,1.05,18997,19977
stholes-5810,1.12,12602,14073
stholes-5810,5.92,129,768
stholes-5810,1.00,30,30
stholes-5810,1.12,6961,7762
stholes-5810,1.41,177,125
stholes-5810,1.22,9553,11679
stholes-5810,9.53,2933,307
stholes-5810,1.42,23650,33569
stholes-5810,20.50,1,40
stholes-5810,1.57,35,22
stholes-5810,1.01,81329,81942
stholes-5810,1.70,11452,19524
stholes-5810,1.60,5874,3679
stholes-5810,2.69,763,2051
stholes-5810,1.27,1444,1133
stholes-5810,2.50,150,377
stholes-5810,2.50,1,4
stholes-5810,1.01,224161,222023
stholes-5810,8.75,3,34
stholes-5810,1.00,562123,564101
stholes-5810,5.84,82,484
stholes-5810,1.45,16212,23553
stholes-5810,1.01,18641,18904
stholes-5810,252.50,1,504
stholes-5810,1.01,134024,136010
stholes-5810,16.50,7,131
stholes-5810,6.23,379,2368
stholes-5810,1.01,321304,323067
stholes-5810,1.32,92,122
stholes-5810,1.76,1040,591
stholes-5810,3.86,663,171
stholes-5810,1.30,586,452
stholes-5810,6.00,6,41
stholes-5810,7.40,1190,160
stholes-5810,1.09,10938,11888
stholes-5810,1.00,186381,185470
stholes-5810,1.14,12572,10982
stholes-5810,1.66,4093,6811
stholes-5810,1.04,74147,71511
stholes-5810,1.04,34507,36017
stholes-5810,1.39,393,545
stholes-5810,4.00,4,19
stholes-5810,5.75,931,161
stholes-5810,1.06,749,709
stholes-5810,1.09,201797,219054
stholes-5810,7.10,148,20
stholes-5810,3.00,748,249
stholes-5810,2.19,6984,3182
stholes-5810,60.00,119,1
stholes-5810,1.38,18353,13305
stholes-5810,2.10,60,127
stholes-5810,1.02,25083,24636
stholes-5810,4.10,8705,2121
stholes-5810,2.52,52,20
stholes-5810,1.00,110,110
stholes-5810,9.50,1,18
stholes-5810,2.58,713,276
stholes-5810,1.27,21365,27179
stholes-5810,4.20,221,932
stholes-5810,1.00,483105,483941
stholes-5810,1.18,11671,9925
stholes-5810,1.59,1181,1879
stholes-5810,1.57,3605,5669
stholes-5810,1.85,245,132
stholes-5810,1.05,33930,32201
stholes-5810,26.25,104,3
